"ID","starting","globalgrazing","stock","g","b","m0","mortality","mortality_border","rho_plus","q_plus","rho_zero","rho_minus"
408,"high",TRUE,FALSE,0.033,0.96,0.05,0.1,0.1,0.851350698602794,0.857611889750086,0.130889820359281,0.0177594810379242
419,"high",TRUE,FALSE,0.099,0.36,0.05,NA,NA,0,0,0.0917584830339321,0.908241516966068
418,"high",TRUE,FALSE,0.099,0.34,0.05,NA,NA,0,0,0.0909566866267465,0.909043313373254
420,"high",TRUE,FALSE,0.099,0.38,0.05,NA,NA,0,0,0.0907820359281437,0.909217964071856
410,"high",TRUE,FALSE,0.033,1,0.05,0.1,0.1,0.859206187624751,0.865157581454273,0.123738323353293,0.0170554890219561
409,"high",TRUE,FALSE,0.033,0.98,0.05,0.1,0.1,0.854569860279441,0.860451209779351,0.128052694610778,0.0173774451097804
422,"high",TRUE,FALSE,0.099,0.42,0.05,NA,NA,0,0,0.0923726546906188,0.907627345309381
423,"high",TRUE,FALSE,0.099,0.44,0.05,NA,NA,0,0,0.0898716566866267,0.910128343313373
424,"high",TRUE,FALSE,0.099,0.46,0.05,NA,NA,0,0,0.0903818363273453,0.909618163672655
425,"high",TRUE,FALSE,0.099,0.48,0.05,NA,NA,0,0,0.0914854291417166,0.908514570858283
426,"high",TRUE,FALSE,0.099,0.5,0.05,NA,NA,0,0,0.0907672654690619,0.909232734530938
427,"high",TRUE,FALSE,0.099,0.52,0.05,NA,NA,0,0,0.0903457085828343,0.909654291417166
428,"high",TRUE,FALSE,0.099,0.54,0.05,0.2,0.2,0.109070858283433,0.410060518246282,0.250698003992016,0.640231137724551
380,"high",TRUE,FALSE,0.033,0.4,0.05,0.1,0.1,0.507283433133733,0.587299318982525,0.366987425149701,0.125729141716567
429,"high",TRUE,FALSE,0.099,0.56,0.05,0.2,0.2,0.274636926147705,0.460551107598223,0.389449500998004,0.335913572854291
430,"high",TRUE,FALSE,0.099,0.58,0.05,0.2,0.2,0.320108582834331,0.47903333006983,0.40329001996008,0.276601397205589
431,"high",TRUE,FALSE,0.099,0.6,0.05,0.2,0.2,0.375524750499002,0.505140648753621,0.409535129740519,0.214940119760479
381,"high",TRUE,FALSE,0.033,0.42,0.05,0.1,0.1,0.545045508982036,0.610482343481436,0.350645309381238,0.104309181636727
432,"high",TRUE,FALSE,0.099,0.62,0.05,0.2,0.2,0.413355089820359,0.52664144580891,0.405191616766467,0.181453293413174
433,"high",TRUE,FALSE,0.099,0.64,0.05,0.2,0.2,0.448426746506986,0.54628948250714,0.397064670658683,0.154508582834331
455,"high",TRUE,FALSE,0.165,0.26,0.05,NA,NA,0,0,0.0922249500998004,0.9077750499002
452,"high",TRUE,FALSE,0.165,0.2,0.05,NA,NA,0,0,0.0908542914171657,0.909145708582834
453,"high",TRUE,FALSE,0.165,0.22,0.05,NA,NA,0,0,0.0903211576846307,0.909678842315369
454,"high",TRUE,FALSE,0.165,0.24,0.05,NA,NA,0,0,0.0882229540918164,0.911777045908184
456,"high",TRUE,FALSE,0.165,0.28,0.05,NA,NA,0,0,0.0893940119760479,0.910605988023952
449,"high",TRUE,FALSE,0.099,0.96,0.05,0.2,0.2,0.691286826347305,0.719143343647748,0.259840518962076,0.0488726546906188
457,"high",TRUE,FALSE,0.165,0.3,0.05,NA,NA,0,0,0.0911610778443114,0.908838922155689
458,"high",TRUE,FALSE,0.165,0.32,0.05,NA,NA,0,0,0.0908766467065868,0.909123353293413
450,"high",TRUE,FALSE,0.099,0.98,0.05,0.2,0.2,0.697490818363273,0.724441042883487,0.254673453093812,0.0478357285429142
459,"high",TRUE,FALSE,0.165,0.34,0.05,NA,NA,0,0,0.0894776447105788,0.910522355289421
460,"high",TRUE,FALSE,0.165,0.36,0.05,NA,NA,0,0,0.0891964071856287,0.910803592814371
447,"high",TRUE,FALSE,0.099,0.92,0.05,0.2,0.2,0.671374850299401,0.703595688409403,0.273252694610778,0.0553724550898204
434,"high",TRUE,FALSE,0.099,0.66,0.05,0.2,0.2,0.469974051896208,0.561952968004667,0.38924371257485,0.140782235528942
448,"high",TRUE,FALSE,0.099,0.94,0.05,0.2,0.2,0.681355688622755,0.711416651381363,0.266624151696607,0.0520201596806387
