"ID","starting","globalgrazing","stock","g","b","m0","mortality","mortality_border","rho_plus","rho_plus_ini","q_plus","rho_zero","rho_minus"
2162,0.8,TRUE,FALSE,0,0.6,0.05,0.05,0.05,0.861889021956088,0.8164,0.868086616161602,0.121112974051896,0.016998003992016
2171,0.8,TRUE,FALSE,0,0.825,0.05,0.05,0.05,0.910263073852295,0.8137,0.912535025379065,0.0795151696606786,0.0102217564870259
2164,0.8,TRUE,FALSE,0,0.65,0.05,0.05,0.05,0.878041516966068,0.8183,0.88251091063053,0.107570858283433,0.014387624750499
2163,0.8,TRUE,FALSE,0,0.625,0.05,0.05,0.05,0.869654491017964,0.8073,0.87494343425656,0.114729341317365,0.0156161676646707
2165,0.8,TRUE,FALSE,0,0.675,0.05,0.05,0.05,0.882635528942116,0.8144,0.886873111039939,0.103452095808383,0.013912375249501
2144,0.3,TRUE,FALSE,0.1,0.975,0.05,0.25,0.25,0.608678443113773,0.245,0.654747017505402,0.317884431137725,0.073437125748503
2166,0.8,TRUE,FALSE,0,0.7,0.05,0.05,0.05,0.888900998003992,0.8088,0.892438704422752,0.0980331337325349,0.0130658682634731
2168,0.8,TRUE,FALSE,0,0.75,0.05,0.05,0.05,0.898721556886228,0.806,0.901749250014921,0.0895810379241517,0.0116974051896208
2167,0.8,TRUE,FALSE,0,0.725,0.05,0.05,0.05,0.894402594810379,0.8069,0.897501344165238,0.0934335329341317,0.012163872255489
2150,0.8,TRUE,FALSE,0,0.3,0.05,0.05,0.05,0.621298203592814,0.8167,0.668844672367607,0.302675249500998,0.0760265469061876
2169,0.8,TRUE,FALSE,0,0.775,0.05,0.05,0.05,0.902290818363273,0.8133,0.905038554333589,0.086601996007984,0.0111071856287425
2170,0.8,TRUE,FALSE,0,0.8,0.05,0.05,0.05,0.906058283433134,0.8083,0.90882153735896,0.0835037924151697,0.0104379241516966
2172,0.8,TRUE,FALSE,0,0.85,0.05,0.05,0.05,0.9136,0.8114,0.915804485820362,0.0765664670658683,0.00983353293413174
2173,0.8,TRUE,FALSE,0,0.875,0.05,0.05,0.05,0.91750379241517,0.8117,0.919532153000253,0.0734702594810379,0.00902594810379241
2148,0.8,TRUE,FALSE,0,0.25,0.05,NA,NA,0.501531536926148,0.8069,0.587477383874314,0.36032255489022,0.138145908183633
2174,0.8,TRUE,FALSE,0,0.9,0.05,0.05,0.05,0.918985229540918,0.7985,0.92106153560848,0.0717692614770459,0.00924550898203593
2175,0.8,TRUE,FALSE,0,0.925,0.05,0.05,0.05,0.922486027944112,0.8082,0.924189468066312,0.0688748502994012,0.00863912175648703
2143,0.3,TRUE,FALSE,0.1,0.95,0.05,0.25,0.25,0.593583632734531,0.2442,0.642909868238601,0.32721876247505,0.0791976047904192
2139,0.3,TRUE,FALSE,0.1,0.85,0.05,0.25,0.25,0.522147105788423,0.2388,0.592451095356305,0.367606187624751,0.110246706586826
2180,0.8,TRUE,FALSE,0.025,0.225,0.05,NA,NA,0,0.8058,0,0.0888443113772455,0.911155688622755
2177,0.8,TRUE,FALSE,0,0.975,0.05,0.05,0.05,0.928150499001996,0.8072,0.929627747253979,0.064138123752495,0.00771137724550898
