"ID","starting","globalgrazing","stock","g","b","m0","mortality","mortality_border","rho_plus","rho_plus_ini","q_plus","rho_zero","rho_minus"
985,0.9,TRUE,FALSE,0.1,0.875,0.05,0.25,0.25,0.53858502994012,0.8416,0.60249022363019,0.360502594810379,0.100912375249501
1062,0.25,TRUE,TRUE,0.05,0.325,0.05,NA,NA,0,0.0079,0,0.089785628742515,0.910214371257485
1061,0.25,TRUE,TRUE,0.05,0.3,0.05,NA,NA,0,0.0185,0,0.0907842315369261,0.909215768463074
1069,0.25,TRUE,TRUE,0.05,0.5,0.05,NA,NA,0,0.0114,0,0.090998003992016,0.909001996007984
1063,0.25,TRUE,TRUE,0.05,0.35,0.05,NA,NA,0,0.0092,0,0.090824750499002,0.909175249500998
1064,0.25,TRUE,TRUE,0.05,0.375,0.05,NA,NA,0,0.0086,0,0.0923249500998004,0.9076750499002
1066,0.25,TRUE,TRUE,0.05,0.425,0.05,NA,NA,0,0.0074,0,0.0888073852295409,0.911192614770459
1065,0.25,TRUE,TRUE,0.05,0.4,0.05,NA,NA,0,0.012,0,0.0915325349301397,0.90846746506986
1068,0.25,TRUE,TRUE,0.05,0.475,0.05,NA,NA,0,0.0068,0,0.0901730538922156,0.909826946107784
1067,0.25,TRUE,TRUE,0.05,0.45,0.05,NA,NA,0,0.0198,0,0.0911570858283433,0.908842914171657
986,0.9,TRUE,FALSE,0.1,0.9,0.05,0.25,0.25,0.56324371257485,0.8426,0.620940435912386,0.34729880239521,0.0894574850299401
1071,0.25,TRUE,TRUE,0.05,0.55,0.05,NA,NA,0,0.0098,0,0.0926516966067864,0.907348303393214
1070,0.25,TRUE,TRUE,0.05,0.525,0.05,NA,NA,0,0.0035,0,0.0913604790419162,0.908639520958084
1072,0.25,TRUE,TRUE,0.05,0.575,0.05,NA,NA,0,0.0071,0,0.0909680638722555,0.909031936127744
1073,0.25,TRUE,TRUE,0.05,0.6,0.05,NA,NA,0,0.005,0,0.0924211576846307,0.907578842315369
1075,0.25,TRUE,TRUE,0.05,0.65,0.05,NA,NA,0,0.0203,0,0.0905602794411178,0.909439720558882
1074,0.25,TRUE,TRUE,0.05,0.625,0.05,NA,NA,0,0.0053,0,0.0907698602794411,0.909230139720559
1083,0.25,TRUE,TRUE,0.05,0.85,0.05,NA,NA,0,0.0058,0,0.0929201596806387,0.907079840319361
987,0.9,TRUE,FALSE,0.1,0.925,0.05,0.25,0.25,0.577714171656687,0.8458,0.632429719218881,0.337465269461078,0.0848205588822355
1076,0.25,TRUE,TRUE,0.05,0.675,0.05,NA,NA,0,0.01,0,0.0911852295409182,0.908814770459082
1078,0.25,TRUE,TRUE,0.05,0.725,0.05,NA,NA,0,0.006,0,0.0913948103792415,0.908605189620759
1077,0.25,TRUE,TRUE,0.05,0.7,0.05,NA,NA,0,0.0071,0,0.0905852295409182,0.909414770459082
1081,0.25,TRUE,TRUE,0.05,0.8,0.05,NA,NA,0,0.0045,0,0.0888936127744511,0.911106387225549
1080,0.25,TRUE,TRUE,0.05,0.775,0.05,NA,NA,0,0.0105,0,0.0893736526946108,0.910626347305389
